filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
1.1,1.1,-0.134964964,0.956915592,0.011050057,0.053279157,0.032164607,0.064329213,0.623946351,0.160252221,2.742020349,6.863409865,-5.972069502,79.11896933,1
1.2,1.2,-0.241547531,1.631488632,0.032023078,0.060549303,0.04628619,0.092572381,0.840946513,0.231547089,3.802177215,20.18271631,-7.552605216,79.00935271,1
1.3,1.3,-0.51417736,2.158419615,0.003630538,0.003630538,0.003630538,0.003630538,0.710489078,0.112395268,3.901161527,17.05173787,-4.815819502,75.94230088,1
1.4,1.4,-0.284583592,20.91706395,0.030444845,0.104946901,0.061889771,0.742677255,1.039538309,0.044915875,4.80259465,85.24214133,13.68364478,32.68193693,1
1.5,1.5,0.038066426,38.69984874,0.034056399,0.262076836,0.084924511,1.273867659,2.306019459,0.126349004,9.201618814,108.3829146,8.383454691,25.40669451,1
1.6,1.6,0.59464113,20.2005625,0.019757792,0.111003419,0.06457581,0.774909715,1.596149095,0.434857377,2.599975681,17.55764005,-1.889986169,78.61610332,0
1.11,1.11,-0.913850194,21.5786161,0.020649096,0.154478344,0.087852206,0.79066985,1.735379231,0.351898059,2.708444173,38.17834309,-11.03596656,76.72488991,1
1.12,1.12,-0.786558802,13.15625846,0.014981122,0.014981122,0.014981122,0.014981122,2.375342341,1.480951494,4.934392043,11.8767117,-3.144800984,72.3932929,1
1.13,1.13,-0.489756958,14.09201439,0.023587926,0.036740117,0.028120024,0.084360073,0.988789698,-0.277764261,6.33881373,37.57400853,1.373603575,78.87332539,1
1.15,1.15,-0.368428397,19.50616845,0.029119897,0.238766119,0.129969072,0.64984536,3.233562489,2.97541838,3.53465794,12.93424996,-5.216519502,77.96548654,1
1.17,1.17,-0.847430381,10.05803622,0.024507634,0.108670719,0.065930921,0.263723683,0.627841901,-0.122855993,2.902706336,31.39209507,3.478347165,78.55689326,1
1.18,1.18,-1.321112158,5.23495334,0.140195972,0.140195972,0.140195972,0.140195972,0.582418131,-0.03488205,1.312634558,5.824181314,-0.553319502,78.21373421,1
1.19,1.19,-0.797484124,1.713042956,0.018417635,0.018417635,0.018417635,0.018417635,0.441639578,0.168973306,1.243083907,6.182954093,-3.913319502,77.88384532,1
1.2,1.2,-0.706060178,3.808125843,0.075212955,0.107831581,0.091522268,0.183044536,0.549337765,0.056907367,1.468196907,14.83211965,-7.091214239,79.04729444,1
1.21,1.21,-1.451495299,43.7086974,0.019912121,0.049148823,0.033262462,0.166312309,1.108622495,-0.176381651,3.064046404,53.21387975,-8.440748074,78.14070082,1
1.22,1.22,-0.01214486,3.605105115,0,0,0,0,1.278428526,0.261416804,2.407348722,11.50585673,-9.54101181,79.15001498,1
1.23,1.23,-0.364969138,34.05340637,0.028832644,0.069906825,0.045055981,0.135167942,3.177456844,1.992661142,4.856665376,9.532370531,-5.804986169,76.00219478,1
1.27,1.27,-0.009089634,33.34019406,0.017569235,0.150419323,0.064307169,0.835993193,1.077760172,-0.097782874,7.319935765,113.1648181,10.4538805,69.39510927,0
1.31,1.31,0.814270801,12.1923264,0.042086883,0.167078547,0.103152985,0.412611941,2.34872123,1.421321077,3.614019811,11.74360615,2.421347165,64.58325559,1
1.32,1.32,-0.439769509,40.31769373,0.080643845,0.194819838,0.117527608,1.17527608,2.338860953,0.349608774,5.137593318,65.48810669,13.8704736,73.92114316,1
1.33,1.33,0.351210443,38.34995325,0.018805895,0.07061252,0.031957528,0.28761775,1.043294198,-0.430710285,4.759970348,81.37694741,16.31649182,77.94325027,0
1.34,1.34,0.540065093,43.89302424,0.02306482,0.211534946,0.106977906,1.390712775,1.95834004,0.346556394,4.792674416,82.25028166,11.0124805,75.58309167,0
1.36,1.36,-0.212047568,38.81162171,0.038398958,0.187405035,0.111878589,0.559392943,3.435891655,1.889425301,5.217173217,13.74356662,14.75301383,79.16467111,0
2.18,2.18,0.038677883,7.588672237,0.007709632,0.062733502,0.034567824,0.345678236,0.612851301,0.200853569,1.352626608,21.44979553,3.259145893,17.6993709,0
