filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
1.1,1.1,-0.134964964,0.956915592,0.011050057,0.053279157,0.032164607,0.064329213,0.623946351,0.160252221,2.742020349,6.863409865,-5.972069502,79.11896933,0.523619056,0.048635777,-557.8170776,36.98210907,10.63338089,24.45102501,6.48974514,6.372412682,-3.142990828,1.774722576,0.923065186,4.150722027,-3.976274729,3.779201031,0.94297874,4.05564785,-0.050806481,0.971186101,-3.360807657,2.303726196,-2.105032206,1.039001942,1
1.2,1.2,-0.241547531,1.631488632,0.032023078,0.060549303,0.04628619,0.092572381,0.840946513,0.231547089,3.802177215,20.18271631,-7.552605216,79.00935271,0.442462146,0.137391731,-455.8868713,87.40841675,-0.311609536,20.46484375,10.90105629,4.592587948,-6.784636974,1.602970839,-1.406339765,3.092967749,-1.726561308,3.923574448,4.152895927,4.769304276,-1.219442964,2.840489388,-6.334509373,1.657541275,-1.139110923,-0.183750272,1
1.3,1.3,-0.51417736,2.158419615,0.003630538,0.003630538,0.003630538,0.003630538,0.710489078,0.112395268,3.901161527,17.05173787,-4.815819502,75.94230088,0.519385636,0.038394582,-594.4071045,51.03144455,1.276477814,12.63622475,8.117246628,3.440528393,-1.963360071,2.35317874,-0.324212104,2.883780718,-0.903391659,4.175457001,2.628620148,2.316234112,-0.403848857,1.58434093,-3.727712631,1.343260646,-0.705031574,-0.2231327,1
1.4,1.4,-0.284583592,20.91706395,0.030444845,0.104946901,0.061889771,0.742677255,1.039538309,0.044915875,4.80259465,85.24214133,13.68364478,32.68193693,0.502764463,0.051812038,-581.4555664,53.47682953,2.870681047,13.65126228,7.330792427,2.868249655,-5.559989929,1.340960741,-0.824886382,3.528591871,0.713576615,2.885121822,2.372942686,3.299405575,0.499894768,2.186397076,-5.228302002,0.236747324,0.221486136,0.372492313,1
1.5,1.5,0.038066426,38.69984874,0.034056399,0.262076836,0.084924511,1.273867659,2.306019459,0.126349004,9.201618814,108.3829146,8.383454691,25.40669451,0.451482743,0.166320607,-392.3992004,100.220787,9.657567978,29.94806099,15.6547308,9.05862236,-5.144360542,2.646825075,0.202102751,5.495931625,-0.963928401,4.543006897,2.360062599,4.182476044,-0.043736871,2.862635374,-6.392673969,1.577703953,-1.045754075,2.543181658,1
1.6,1.6,0.59464113,20.2005625,0.019757792,0.111003419,0.06457581,0.774909715,1.596149095,0.434857377,2.599975681,17.55764005,-1.889986169,78.61610332,0.440470755,0.155103549,-430.8838501,89.62606049,6.062160492,26.01191139,12.70443249,5.901084423,-7.493341923,2.623571873,-0.072389089,4.579972267,-0.133792743,3.377956629,2.764146566,3.82587719,0.239515975,2.655266047,-6.920656204,-0.036271278,-0.308073848,1.726990104,0
1.11,1.11,-0.913850194,21.5786161,0.020649096,0.154478344,0.087852206,0.79066985,1.735379231,0.351898059,2.708444173,38.17834309,-11.03596656,76.72488991,0.420998245,0.210429996,-346.9633789,127.4574432,8.214805603,35.37853241,18.56016541,4.904773235,-9.707359314,3.758184433,-2.061378717,7.04708147,-1.53003931,4.481406212,5.315085411,6.114882946,0.190254241,3.326629877,-8.810311317,2.057611704,-1.555486441,1.210405588,1
1.12,1.12,-0.786558802,13.15625846,0.014981122,0.014981122,0.014981122,0.014981122,2.375342341,1.480951494,4.934392043,11.8767117,-3.144800984,72.3932929,0.495448083,0.069227822,-412.6034241,104.7466965,15.436759,36.5362854,20.42923927,9.87345314,-2.363791227,9.065422058,0.836626232,8.612445831,-1.393418193,6.229631901,2.667663336,5.256192207,-0.037552226,3.613049269,-5.994762421,3.263889313,-1.876654148,3.76777935,1
1.13,1.13,-0.489756958,14.09201439,0.023587926,0.036740117,0.028120024,0.084360073,0.988789698,-0.277764261,6.33881373,37.57400853,1.373603575,78.87332539,0.429069638,0.164970517,-358.5551147,125.8821945,9.256424904,29.54714584,13.75927067,6.807678699,-4.903703213,6.421825409,0.052852288,4.682127476,0.169649675,6.650319099,5.391849518,6.449156284,-1.737462878,4.176110268,-7.540022373,0.744938254,-0.472274005,2.429145336,1
1.15,1.15,-0.368428397,19.50616845,0.029119897,0.238766119,0.129969072,0.64984536,3.233562489,2.97541838,3.53465794,12.93424996,-5.216519502,77.96548654,0.462567151,0.125057563,-369.313385,83.36332703,5.008046627,27.72329903,10.25919819,9.249631882,-4.431094646,4.146791935,-1.107409954,10.40030766,0.138707504,5.211926937,0.933782697,4.155965328,0.960374177,1.47719419,-9.616796494,4.229738235,-4.206933975,1.321294427,1
1.17,1.17,-0.847430381,10.05803622,0.024507634,0.108670719,0.065930921,0.263723683,0.627841901,-0.122855993,2.902706336,31.39209507,3.478347165,78.55689326,0.49048543,0.013245552,-690.5422363,31.21350479,2.046560049,8.766815186,4.646740437,2.168038845,0.074683353,2.360677481,-0.120046981,1.982443333,-0.60529232,2.014189243,0.728992999,1.18415308,-0.385597914,1.149129152,-2.663729191,0.167898044,-0.853146493,0.829561472,1
1.18,1.18,-1.321112158,5.23495334,0.140195972,0.140195972,0.140195972,0.140195972,0.582418131,-0.03488205,1.312634558,5.824181314,-0.553319502,78.21373421,0.439133376,0.162416637,-401.4526978,115.4476166,-0.629328787,23.70805931,13.64574718,10.89498043,-11.20347595,0.114837579,0.68670094,5.8444314,3.088618517,6.057071686,4.313594818,6.813500881,-2.170989752,5.266234875,-8.743653297,0.007127453,-3.299504757,0.101667784,1
1.19,1.19,-0.797484124,1.713042956,0.018417635,0.018417635,0.018417635,0.018417635,0.441639578,0.168973306,1.243083907,6.182954093,-3.913319502,77.88384532,0.511232853,0.053729519,-383.5773621,112.9016647,8.290472031,44.19782257,27.39496803,8.897079468,5.998816013,10.37395954,-1.807781816,12.78841591,0.046873003,7.292220592,1.461907744,4.324742317,-2.390961409,2.372448921,-4.928703785,6.033151627,-3.526565075,4.538209438,1
1.2,1.2,-0.706060178,3.808125843,0.075212955,0.107831581,0.091522268,0.183044536,0.549337765,0.056907367,1.468196907,14.83211965,-7.091214239,79.04729444,0.470346192,0.099895024,-477.7508748,84.30524827,1.811820259,21.91028659,12.48498027,5.076923529,-5.503909667,3.393336137,-0.383958151,4.774405162,-1.108234902,5.009907723,3.355212053,4.443221251,-0.072886974,2.667190035,-5.806809266,1.747087677,-1.243271013,0.958023002,1
1.21,1.21,-1.451495299,43.7086974,0.019912121,0.049148823,0.033262462,0.166312309,1.108622495,-0.176381651,3.064046404,53.21387975,-8.440748074,78.14070082,0.455925226,0.187229991,-385.9670715,102.7962646,5.567682266,29.18841362,13.42071819,8.013563156,-7.328341007,1.886529326,-0.011791257,6.142141342,-1.183208108,6.065225601,3.796158552,5.705980301,0.120138273,4.921242714,-5.893002033,2.390614271,-0.606972277,1.637411475,1
1.22,1.22,-0.01214486,3.605105115,0,0,0,0,1.278428526,0.261416804,2.407348722,11.50585673,-9.54101181,79.15001498,0.449190795,0.123898759,-382.9586487,114.4758835,4.470592499,32.62979126,18.43663788,7.197654247,-7.763731956,6.223858833,0.578677416,8.346467018,-0.69475174,6.930691719,3.284120083,6.244125366,1.404630899,3.576739788,-7.358205795,2.240461111,-1.885670543,3.280951977,1
1.23,1.23,-0.364969138,34.05340637,0.028832644,0.069906825,0.045055981,0.135167942,3.177456844,1.992661142,4.856665376,9.532370531,-5.804986169,76.00219478,0.447773904,0.172220364,-354.6075745,127.8726654,10.16850662,30.55734444,14.67266941,7.784093857,-6.196630478,4.31595993,0.583900332,7.205329895,-0.571210206,7.284274101,5.267251968,6.361507893,0.221047759,4.045532227,-8.417992592,0.719234765,-0.54950422,2.826140881,1
1.27,1.27,-0.009089634,33.34019406,0.017569235,0.150419323,0.064307169,0.835993193,1.077760172,-0.097782874,7.319935765,113.1648181,10.4538805,69.39510927,0.476577222,0.010672478,-689.3947754,18.15551376,1.483631968,5.459583282,3.030230761,1.648233533,-0.625246823,1.399775267,0.229168773,1.59658432,0.038424883,1.448189497,0.62499094,0.845637023,-0.141419724,0.92241776,-1.110075474,0.510693729,-0.454873621,0.638061225,0
1.31,1.31,0.814270801,12.1923264,0.042086883,0.167078547,0.103152985,0.412611941,2.34872123,1.421321077,3.614019811,11.74360615,2.421347165,64.58325559,0.535376787,0.020177901,-521.7449951,72.14969635,10.0490942,27.68060303,14.37622261,9.169969559,4.941643238,10.50069427,1.274762869,7.752561092,-0.678578854,6.655279636,1.990036964,2.765005112,-1.011243224,4.052671432,-2.515525341,4.002864361,-2.612055063,3.111599684,1
1.32,1.32,-0.439769509,40.31769373,0.080643845,0.194819838,0.117527608,1.17527608,2.338860953,0.349608774,5.137593318,65.48810669,13.8704736,73.92114316,0.448586494,0.129355416,-361.6907043,115.5117645,8.658777237,37.4372139,15.74862862,7.590053082,-4.803469658,7.304458618,-1.325129747,9.074224472,-1.233726025,7.529176235,6.565709114,4.833362103,0.283447266,6.445768833,-7.967689514,4.807006836,-0.730685234,2.254870415,1
