filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
1.3,1.3,-0.51417736,2.158419615,0.003630538,0.003630538,0.003630538,0.003630538,0.710489078,0.112395268,3.901161527,17.05173787,-4.815819502,75.94230088,0
1.4,1.4,-0.284583592,20.91706395,0.030444845,0.104946901,0.061889771,0.742677255,1.039538309,0.044915875,4.80259465,85.24214133,13.68364478,32.68193693,0
1.8,1.8,0.066363932,30.95741789,0.051054121,0.051054121,0.051054121,0.051054121,2.513014008,1.722743569,3.851233317,17.59109805,-6.854841241,78.26409435,1
1.9,1.9,0.538411842,11.3589951,0.014435843,0.13834802,0.047033295,0.51736625,3.721588941,2.222788766,4.710914247,14.88635576,-6.46235176,78.29469851,1
1.11,1.11,-0.913850194,21.5786161,0.020649096,0.154478344,0.087852206,0.79066985,1.735379231,0.351898059,2.708444173,38.17834309,-11.03596656,76.72488991,1
1.13,1.13,-0.489756958,14.09201439,0.023587926,0.036740117,0.028120024,0.084360073,0.988789698,-0.277764261,6.33881373,37.57400853,1.373603575,78.87332539,1
1.14,1.14,-1.034716669,52.27686198,0.041069651,0.252225357,0.090588418,1.268237857,5.747360663,2.41585178,10.74001817,22.98944265,-4.896298225,74.83531574,1
1.33,1.33,0.351210443,38.34995325,0.018805895,0.07061252,0.031957528,0.28761775,1.043294198,-0.430710285,4.759970348,81.37694741,16.31649182,77.94325027,1
1.34,1.34,0.540065093,43.89302424,0.02306482,0.211534946,0.106977906,1.390712775,1.95834004,0.346556394,4.792674416,82.25028166,11.0124805,75.58309167,1
1.36,1.36,-0.212047568,38.81162171,0.038398958,0.187405035,0.111878589,0.559392943,3.435891655,1.889425301,5.217173217,13.74356662,14.75301383,79.16467111,1
1.37,1.37,0.771200876,5.835237251,0.062748796,0.162852556,0.103494307,0.31048292,1.099718964,0.234490455,8.292772769,19.79494135,14.86310907,79.18730436,1
2.2,2.2,-0.327523921,0.568353146,0.026791148,0.061846374,0.044318761,0.088637521,0.368443462,0.306690197,0.481439447,2.210660772,1.042360179,17.74018612,1
2.4,2.4,-0.44381183,2.683844841,0.00618865,0.00618865,0.00618865,0.00618865,0.694727365,0.2695834,2.142836868,8.336728383,2.486860179,17.57168223,1
2.5,2.5,-0.837260438,25.0163492,0.023595293,0.184786558,0.083563556,0.835635563,1.794784087,0.063211116,5.374052868,59.22787488,2.625931608,16.88098638,1
2.6,2.6,-0.523036192,9.456741001,0.011503624,0.080417769,0.042244888,0.38020399,0.478207944,0.066318582,1.591901471,13.38982242,-0.077139821,17.52517778,1
2.8,2.8,-0.199933399,14.24502063,0.010064428,0.044591924,0.025234548,0.479456404,0.699530736,-0.048474859,2.80893129,37.77465972,4.068637957,17.61608708,1
2.13,2.13,-0.029207337,2.885734456,0.016456812,0.023012861,0.019734836,0.039469673,0.570166733,0.221326285,1.097266041,11.40333467,3.031526846,17.72835874,1
2.16,2.16,-0.296424494,20.59844569,0.012257942,0.026482186,0.018971263,0.132798838,0.733401573,0.328808041,1.979237936,35.93667709,2.540535855,17.551197,1
2.18,2.18,0.038677883,7.588672237,0.007709632,0.062733502,0.034567824,0.345678236,0.612851301,0.200853569,1.352626608,21.44979553,3.259145893,17.6993709,1
2.19,2.19,0.181824374,0.772959992,0,0,0,0,0.571677815,0.227175632,0.887786291,5.145100333,2.96628875,17.74813016,1
2.23,2.23,0.09490588,6.723586376,0.013352851,0.068618667,0.044537542,0.311762792,0.753632783,0.518729036,1.382238929,17.333554,1.165415735,17.71185262,1
2.24,2.24,-13.17547299,506.6821231,0.294263443,1.587347023,0.719696592,3.598482961,1.43633133,0.111468231,3.541379246,56.01692188,0.550415735,17.61782572,1
2.25,2.25,0.98429466,2.611402886,0.008584623,0.053044464,0.025254474,0.202035795,0.557620232,0.320582396,0.876270389,11.71002486,1.684860179,17.71463778,1
2.26,2.26,0.63944023,19.77075441,0.01311863,0.07947401,0.039505272,0.750600166,0.787361418,-2.08276817,8.351553429,51.96585357,2.101590948,17.69940045,1
2.27,2.27,-0.494978677,74.74568991,0.039674414,0.37630431,0.126445957,1.643797445,1.240271292,-0.121226116,6.501514557,84.33844784,6.346860179,6.526017042,1
2.28,2.28,-3.386367911,238.5872109,0.682346068,0.682346068,0.682346068,0.682346068,0.7381608,0.082221494,4.063250699,53.14757759,12.00667836,4.800144113,1
2.29,2.29,0.1087116,15.21920193,0.021419295,0.111110153,0.056602563,0.566025634,1.225195586,0.120242252,5.987503164,26.9543029,0.738860179,15.27400691,1
2.3,2.3,0.418116506,14.20157915,0.017473726,0.098122611,0.035552519,0.497735263,1.552072238,0.086974089,7.263757625,72.9473952,-2.991192453,17.26594334,1
2.34,2.34,-0.219353274,59.76448138,0.031976355,0.312534386,0.111590613,0.892724906,0.873987279,0.133586075,2.365477649,44.57335125,4.808449923,17.57328224,1
2.35,2.35,1.089207714,6.171105969,0.008382328,0.018269165,0.011811091,0.082677637,0.756469552,0.380538206,2.71936316,24.96349523,2.084860179,16.07710342,1
2.36,2.36,0.771089713,25.90734484,0.014742143,0.084705209,0.036762554,0.735251084,0.917240192,0.148575028,4.507801093,41.27580864,1.127883435,17.56528476,1
2.37,2.37,1.034737037,10.66958721,0.014243429,0.04746465,0.032296428,0.355260703,1.530314593,-0.008626181,6.795809843,59.68226913,1.099405634,17.1603043,1
2.38,2.38,1.26739565,2.739811603,0.023488961,0.056853623,0.031237082,0.187422494,0.572908615,0.246186011,1.041331657,8.593629224,0.830693512,17.67449369,1
3.1,3.1,-0.795322882,7.558728356,0.025351397,0.084056135,0.054925219,0.329551317,1.383522121,0.168430742,4.528996167,31.82100878,3.54484082,21.6787204,1
3.2,3.2,-0.717224505,5.242126767,0.026444614,0.086501396,0.051823149,0.207292594,1.479416778,0.39413088,4.528996167,23.67066844,3.571507487,21.68561207,1
