folder #,filename,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
1.3,2-03.wav,-0.51418,2.15842,0.003631,0.003631,0.003631,0.003631,0.710489,0.112395,3.901162,17.05174,-4.81582,75.9423,0.519385636,0.038394582,-594.407,51.03144,1.276478,12.63622,8.117247,3.440528,-1.96336,2.353179,-0.32421,2.883781,-0.90339,4.175457,2.62862,2.316234,-0.40385,1.584341,-3.72771,1.343261,-0.70503,-0.22313,0
1.4,2-04.wav,-0.28458,20.91706,0.030445,0.104947,0.06189,0.742677,1.039538,0.044916,4.802595,85.24214,13.68364,32.68194,0.502764463,0.051812038,-581.456,53.47683,2.870681,13.65126,7.330792,2.86825,-5.55999,1.340961,-0.82489,3.528592,0.713577,2.885122,2.372943,3.299406,0.499895,2.186397,-5.2283,0.236747,0.221486,0.372492,0
1.8,2-08.wav,0.066364,30.95742,0.051054,0.051054,0.051054,0.051054,2.513014,1.722744,3.851233,17.5911,-6.85484,78.26409,0.42634812,0.132183596,-460.258,87.18271,3.411819,24.08503,14.38515,3.793025,-11.2388,-0.48083,-1.57728,4.172027,-1.25977,4.2379,3.876092,4.378282,-0.36319,3.856574,-6.44754,-0.08999,0.16126,0.616068,1
1.9,2-09.wav,0.538412,11.359,0.014436,0.138348,0.047033,0.517366,3.721589,2.222789,4.710914,14.88636,-6.46235,78.2947,0.494390905,0.044982158,-505.666,65.24285,9.550163,22.04823,13.13436,6.204616,0.539335,6.033441,0.904469,4.127856,0.587237,3.478722,1.41556,1.641872,0.031631,1.094182,-3.54221,1.198417,-1.17782,1.19503,1
1.11,2-11.wav,-0.91385,21.57862,0.020649,0.154478,0.087852,0.79067,1.735379,0.351898,2.708444,38.17834,-11.036,76.72489,0.420998245,0.210429996,-346.963,127.4574,8.214806,35.37853,18.56017,4.904773,-9.70736,3.758184,-2.06138,7.047081,-1.53004,4.481406,5.315085,6.114883,0.190254,3.32663,-8.81031,2.057612,-1.55549,1.210406,1
1.14,2-14.wav,-1.03472,52.27686,0.04107,0.252225,0.090588,1.268238,5.747361,2.415852,10.74002,22.98944,-4.8963,74.83532,0.483448982,0.057285056,-509.257,55.12756,3.960738,17.9085,7.454659,6.469158,-2.6618,1.711492,0.0088,4.144167,0.475276,3.100873,2.919679,3.412836,-0.63539,2.176415,-4.26749,1.10717,-0.0212,0.702688,1
1.34,2-34.wav,0.540065,43.89302,0.023065,0.211535,0.106978,1.390713,1.95834,0.346556,4.792674,82.25028,11.01248,75.58309,0.447618514,0.103328824,-444.604,86.9122,6.182547,29.7017,12.64139,4.119048,-7.90809,1.245648,-2.72415,5.888252,-1.72514,2.968548,4.274126,4.196617,0.549788,4.217643,-6.2308,3.528862,0.216158,1.413949,1
1.37,2-37.wav,0.771201,5.835237,0.062749,0.162853,0.103494,0.310483,1.099719,0.23449,8.292773,19.79494,14.86311,79.1873,0.448468685,0.141476244,-430.044,85.6586,7.984929,27.19943,11.98454,5.539992,-6.32911,3.141335,-0.98412,5.16154,-1.67135,4.4509,3.795605,4.295935,0.597416,4.301158,-5.82174,2.344089,-0.35179,1.815418,1
2.2,3-02.wav,-0.32752,0.568353,0.026791,0.061846,0.044319,0.088638,0.368443,0.30669,0.481439,2.210661,1.04236,17.74019,0.460464984,0.034789626,-379.742,111.646,9.597545,35.27539,19.28352,9.28662,-0.45334,8.610789,1.382167,12.63272,0.133735,8.604126,1.759519,9.216014,1.094329,5.617162,-2.84062,9.00377,-5.63169,5.178878,1
2.4,3-04.wav,-0.44381,2.683845,0.006189,0.006189,0.006189,0.006189,0.694727,0.269583,2.142837,8.336728,2.48686,17.57168,0.48235932,0.027248638,-382.99,114.5305,7.318913,39.38095,25.75094,8.747562,-2.15351,5.29391,-0.94022,11.24124,0.613193,9.589482,-1.16108,6.492359,-0.97227,2.867914,-4.1803,7.442116,-4.31179,5.659028,1
2.5,3-05.wav,-0.83726,25.01635,0.023595,0.184787,0.083564,0.835636,1.794784,0.063211,5.374053,59.22787,2.625932,16.88099,0.412529022,0.045030978,-378.092,113.2887,1.518639,33.25588,19.95491,6.692123,-1.98846,5.295999,-0.42013,9.304927,0.729178,10.30413,-0.87073,7.23762,0.787454,0.911073,-3.89169,8.907409,-3.72572,5.16396,1
2.6,3-06.wav,-0.52304,9.456741,0.011504,0.080418,0.042245,0.380204,0.478208,0.066319,1.591901,13.38982,-0.07714,17.52518,0.475854069,0.08656352,-439.297,76.33528,-2.46789,21.26911,12.84335,2.269396,-1.48423,0.574423,-0.0031,3.781122,1.484571,5.963541,-0.35183,4.287641,1.293293,-0.64927,-1.68913,4.341467,-1.98258,2.835948,1
2.8,3-08.wav,-0.19993,14.24502,0.010064,0.044592,0.025235,0.479456,0.699531,-0.04847,2.808931,37.77466,4.068638,17.61609,0.429873437,0.094741814,-402.501,98.60216,-1.36539,22.87247,15.97178,2.81923,-1.68224,-0.60866,-2.27103,6.201707,-0.15505,2.404125,-2.64854,4.355584,-1.49368,-0.19294,-0.85859,9.456477,0.767353,5.994712,1
2.13,3-13.wav,-0.02921,2.885734,0.016457,0.023013,0.019735,0.03947,0.570167,0.221326,1.097266,11.40333,3.031527,17.72836,0.421969801,0.033312228,-436.32,99.80348,7.170256,32.25472,19.29139,6.79276,-1.34262,5.425463,-1.68183,6.401023,-0.45584,7.251021,-0.14213,6.383641,-0.23842,0.972247,-3.94099,7.321687,-4.28383,3.583637,1
2.16,3-16.wav,-0.29642,20.59845,0.012258,0.026482,0.018971,0.132799,0.733402,0.328808,1.979238,35.93668,2.540536,17.5512,0.440209627,0.125954151,-342.369,103.9985,-0.15112,30.97032,23.07129,4.626762,-0.68236,1.656061,0.338502,6.095685,-0.06218,6.801753,-0.76282,5.168109,3.327437,0.393783,-1.7459,8.577094,-2.16126,5.423172,1
2.18,3-18.wav,0.038678,7.588672,0.00771,0.062734,0.034568,0.345678,0.612851,0.200854,1.352627,21.4498,3.259146,17.69937,0.417574108,0.061404023,-368.86,115.9133,4.472631,34.84337,20.92936,7.705909,-3.23278,1.021282,-0.59347,6.948328,1.234046,9.516868,-4.29216,6.765849,1.733348,-1.04017,-4.46996,8.63551,-3.54684,4.597533,1
2.19,3-19.wav,0.181824,0.77296,0,0,0,0,0.571678,0.227176,0.887786,5.1451,2.966289,17.74813,0.520338595,0.024777682,-386.485,107.0119,12.30258,36.48542,20.89614,13.42514,4.315838,9.369823,-1.03901,10.62225,-0.90884,6.113686,-1.48876,6.761959,-0.93316,3.52806,-8.65268,7.193466,-6.12218,4.384274,1
2.23,3-23.wav,0.094906,6.723586,0.013353,0.068619,0.044538,0.311763,0.753633,0.518729,1.382239,17.33355,1.165416,17.71185,0.417873174,0.049961906,-351.71,118.2031,2.816249,33.23404,20.23286,9.809397,-1.25105,3.658579,-1.10716,8.352948,3.587717,9.942869,-4.24566,7.024303,0.77231,0.071056,-4.07824,9.849287,-3.3722,5.901798,1
2.24,3-24.wav,-13.1755,506.6821,0.294263,1.587347,0.719697,3.598483,1.436331,0.111468,3.541379,56.01692,0.550416,17.61783,0.445756137,0.125689968,-368.177,104.156,-0.13981,32.45894,18.02257,3.599398,-1.92844,0.767064,0.046273,5.812832,-0.46406,6.845899,-2.63709,4.522134,2.163672,1.142741,-1.22863,8.165666,-1.6416,4.648377,1
2.25,3-25.wav,0.984295,2.611403,0.008585,0.053044,0.025254,0.202036,0.55762,0.320582,0.87627,11.71002,1.68486,17.71464,0.508393764,0.019805983,-578.268,42.42286,4.858976,13.80285,8.030343,4.339013,1.15526,3.358146,-0.75196,3.156184,0.569284,3.738357,0.042181,1.794045,0.254115,1.450333,-2.41436,2.143621,-1.81806,1.628257,1
2.26,3-26.wav,0.63944,19.77075,0.013119,0.079474,0.039505,0.7506,0.787361,-2.08277,8.351553,51.96585,2.101591,17.6994,0.499865711,0.023700273,-554.346,55.69307,0.190016,15.93243,9.63935,3.41326,-0.71783,0.554418,-1.1071,4.233847,-1.04854,2.912958,-0.43469,2.457614,-0.23563,0.576282,-1.96854,3.56866,-1.8671,2.111937,1
2.27,3-27.wav,-0.49498,74.74569,0.039674,0.376304,0.126446,1.643797,1.240271,-0.12123,6.501515,84.33845,6.34686,6.526017,0.517324388,0.027637463,-576.945,32.12792,-0.80961,8.595618,5.36404,1.528946,-0.54676,0.558832,0.167508,2.459831,0.351141,2.566397,-0.42551,1.610114,-0.17165,-0.38738,-0.50749,2.123249,-0.88413,1.531033,1
2.28,3-28.wav,-3.38637,238.5872,0.682346,0.682346,0.682346,0.682346,0.738161,0.082221,4.063251,53.14758,12.00668,4.800144,0.498381555,0.018437546,-555.562,44.64919,3.916368,14.57088,8.513145,3.053446,-0.84525,1.708619,-0.22392,1.926419,0.399707,3.741359,-0.78765,1.681117,0.491441,0.282215,-1.50599,2.374637,-1.40185,1.595749,1
2.29,3-29.wav,0.108712,15.2192,0.021419,0.11111,0.056603,0.566026,1.225196,0.120242,5.987503,26.9543,0.73886,15.27401,0.482070357,0.039972115,-382.266,113.2952,13.86608,37.30815,20.24553,10.03282,2.417141,8.47223,0.082711,10.68149,-0.7429,9.619051,-1.02457,4.587172,-1.52966,4.254829,-4.00291,6.451466,-4.52284,4.538157,1
2.3,3-30.wav,0.418117,14.20158,0.017474,0.098123,0.035553,0.497735,1.552072,0.086974,7.263758,72.9474,-2.99119,17.26594,0.445827633,0.071620002,-345.422,114.6302,-3.00559,32.33681,18.54884,4.316578,-3.72539,-0.68946,-2.17544,9.725,0.7232,6.624122,-3.18306,5.271144,-0.02268,-2.01383,-3.39917,9.351816,-4.69368,4.952511,1
2.34,3-34.wav,-0.21935,59.76448,0.031976,0.312534,0.111591,0.892725,0.873987,0.133586,2.365478,44.57335,4.80845,17.57328,0.46939218,0.044627387,-374.252,115.9234,5.297714,37.6514,23.30662,7.561699,-4.20399,1.715605,0.318395,12.40664,1.000711,6.310155,-0.4153,7.88315,-3.25391,-1.44502,-3.54936,6.742255,-6.8306,4.577863,1
2.35,3-35.wav,1.089208,6.171106,0.008382,0.018269,0.011811,0.082678,0.75647,0.380538,2.719363,24.9635,2.08486,16.0771,0.5079301,0.030263457,-496.148,59.73011,5.431701,20.3217,12.69389,5.282032,1.06857,3.915017,0.370269,6.000682,-0.20843,3.704041,-0.13681,2.129656,-0.40918,1.177348,-2.27183,3.559262,-2.93414,2.558401,1
2.36,3-36.wav,0.77109,25.90734,0.014742,0.084705,0.036763,0.735251,0.91724,0.148575,4.507801,41.27581,1.127883,17.56528,0.488749713,0.031820934,-455.241,90.39565,8.741733,28.28173,17.50249,6.964692,-1.78934,3.307744,-0.94374,7.123218,0.787591,7.771694,-2.04002,4.84701,-0.33128,0.383162,-4.95146,5.525585,-4.09438,3.517749,1
2.37,3-37.wav,1.034737,10.66959,0.014243,0.047465,0.032296,0.355261,1.530315,-0.00863,6.79581,59.68227,1.099406,17.1603,0.47464779,0.029449929,-459.278,93.92863,14.279,32.46424,18.56048,8.260243,-1.38422,6.896327,-0.51835,7.316063,-1.3486,8.286764,0.386548,4.516847,-1.17011,2.238945,-4.91877,3.907439,-4.66383,3.392576,1
2.38,3-38.wav,1.267396,2.739812,0.023489,0.056854,0.031237,0.187422,0.572909,0.246186,1.041332,8.593629,0.830694,17.67449,0.483349025,0.347691417,-359.107,92.43073,10.5598,29.37143,21.73347,5.005076,1.916575,1.562224,1.258666,6.103271,2.396783,3.720886,1.73423,2.728726,2.027902,-0.40068,-0.60919,5.08708,-1.29447,1.814746,1
3.1,4-01.wav,-0.79532,7.558728,0.025351,0.084056,0.054925,0.329551,1.383522,0.168431,4.528996,31.82101,3.544841,21.67872,0.455989867,0.092076756,-373.173,111.3055,6.228113,28.25225,18.03091,5.801633,2.272322,14.88439,0.046901,10.96004,-2.0362,6.891929,-1.27739,5.336842,-0.374,5.658452,-0.87756,5.724615,-7.68302,3.355628,1
3.2,4-02.wav,-0.71722,5.242127,0.026445,0.086501,0.051823,0.207293,1.479417,0.394131,4.528996,23.67067,3.571507,21.68561,0.399842471,0.151598141,-330.712,98.07491,-1.30774,28.51702,14.17036,-1.50263,0.249331,3.719155,-2.16195,11.2837,1.935579,6.498495,-3.45385,5.001273,1.37209,2.938631,-2.34167,6.479477,-8.85095,5.322756,1
3.3,4-03.wav,-0.68266,6.879739,0.020466,0.097998,0.061372,0.429607,1.017696,0.333492,2.940765,18.31853,3.392174,21.72402,0.403150797,0.138001025,-394.701,97.69884,4.288023,19.84622,11.20574,-4.73133,-0.42051,4.493732,-1.32631,8.437966,-1.96184,4.811211,0.503338,4.095779,1.567953,2.711465,-1.89293,4.782164,-2.62324,3.870869,1
3.4,4-04.wav,-0.5818,3.814254,0.017992,0.051392,0.033347,0.200081,0.916428,0.709142,1.148919,17.41212,3.967341,21.67342,0.589678109,0.015748177,-392.681,96.71912,7.090829,31.29409,20.87059,10.12178,4.329594,17.1405,5.077433,14.05893,-1.27203,8.423391,0.274413,6.036944,0.634276,7.436685,-5.038,4.620589,-5.01411,5.796454,1
3.5,4-05.wav,-0.73588,2.093905,0.040284,0.074286,0.053545,0.160636,1.01005,0.751183,1.148919,10.1005,4.363591,21.8275,0.481252611,0.069916718,-357.392,106.3403,7.732863,30.91822,15.86008,1.519487,-2.04212,3.375958,0.787554,11.0601,-1.89799,4.882769,0.450933,6.531509,1.262679,6.531966,-3.4503,6.313213,-6.4691,2.852231,1
3.6,4-06.wav,-1.38884,28.16128,0.009486,0.07712,0.044195,0.618734,1.189022,0.680664,8.885687,51.12793,4.048084,21.7864,0.460526198,0.156549454,-377.578,90.95101,-0.47749,27.67553,14.13773,-3.63451,-2.61641,1.458019,1.583578,10.38947,-2.88109,5.08511,0.67264,3.127245,1.035284,-0.13968,-3.88778,4.650505,-4.50997,2.5216,1
3.7,4-07.wav,-0.93705,5.429097,0.021468,0.069058,0.036971,0.147882,1.140919,0.758157,2.650164,19.39562,5.046984,21.61374,0.468776613,0.051954187,-437.491,87.70198,4.754006,24.86257,14.86416,1.874879,-2.06916,3.362918,-2.18598,10.2423,-1.54902,3.701973,1.439242,2.702554,-0.08058,0.837666,-3.4086,4.638647,-3.05534,2.907394,1
